areaType,availability,location,size,society,totalSqft,bath,balcony,price,region
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3.0,3.0,125.0,Bangalore South
Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,,3990,4.0,1.0,260.0,Bangalore North
Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,HMonymp,1495,2.0,2.0,83.0,Bangalore South
Plot  Area,Ready To Move,Hennur Road,5 Bedroom,,1500,5.0,1.0,175.0,Bangalore North
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2501,3.0,3.0,138.0,Bangalore North
Carpet  Area,20-Dec,Kanakpura Road,1 BHK,Roiti A,381,1.0,0.0,28.0,Bangalore South
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,2002,3.0,2.0,120.0,Bangalore North
Built-up  Area,17-Mar,Meenakunte,3 Bedroom,Sreat R,3200,3.0,0.0,260.0,Bangalore South
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,,1500,3.0,0.0,235.0,Bangalore South
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Shitt S,1450 - 1595,,,60.75,Bangalore South
Plot  Area,Ready To Move,Banashankari Stage III,4 Bedroom,,1200,6.0,2.0,170.0,Bangalore South
Super built-up  Area,Ready To Move,Electronic City,2 BHK,MDonta ,1039,2.0,1.0,50.0,Bangalore South
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Brglede,1210,2.0,1.0,80.0,Bangalore North
Super built-up  Area,Ready To Move,Attibele,2 BHK,DSvar S,995,1.0,1.0,24.88,Bangalore South
Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCarkna,1620,3.0,2.0,90.0,Bangalore North
Built-up  Area,Ready To Move,Choodasandra,3 Bedroom,LGlarAs,3204,4.0,3.0,395.0,Bangalore South
Built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,GonumPl,3408,3.0,3.0,260.0,Bangalore North
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Kames S,1314,2.0,3.0,55.0,Bangalore East
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,945,2.0,1.0,33.0,Bangalore South
Built-up  Area,19-Jan,Kanakpura Road,3 BHK,PrityFa,1603,3.0,3.0,113.0,Bangalore South
Built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1230,2.0,2.0,52.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,1864,3.0,2.0,105.0,Bangalore South
Built-up  Area,18-Jan,Hosa Road,3 Bedroom,Gllas V,2500,3.0,2.0,100.0,Bangalore South
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,DScon S,1625,2.0,2.0,54.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1186,2.0,3.0,55.0,Bangalore East
Plot  Area,Ready To Move,KR Puram,8 Bedroom,,1500,7.0,2.0,382.0,Bangalore East
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,39.9,Bangalore South
Super built-up  Area,18-Feb,Varthur,2 BHK,HioraTr,1085,2.0,1.0,45.0,Bangalore South
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,AnentAp,1496,2.0,3.0,78.0,Bangalore East
Super built-up  Area,18-Jul,Chandapura,3 BHK,SunceEs,1305,3.0,1.0,33.28,Bangalore South
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Shiaa S,1550,2.0,2.0,82.0,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1200,2.0,1.0,58.17,Bangalore East
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,SJmesst,1286,2.0,2.0,69.0,Bangalore South
Plot  Area,Ready To Move,"Banashankari 6th stage , 2nd block",3 Bedroom,,600,4.0,1.0,100.0,Bangalore South
Super built-up  Area,Ready To Move,Hebbal,3 BHK,MVkleiw,1860,3.0,2.0,95.0,Bangalore North
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2.0,2.0,45.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Peles P,1044,2.0,2.0,32.0,Bangalore South
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,SrncyRe,1040,2.0,1.0,41.59,Bangalore South
Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,,1125,2.0,2.0,36.94,Bangalore South
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Prldsri,1278,2.0,2.0,59.0,Bangalore South
Plot  Area,Ready To Move,Vijayanagar,5 Bedroom,,2400,6.0,3.0,125.0,Bangalore South
Plot  Area,Ready To Move,KR Puram,5 Bedroom,Henue A,4166,5.0,,560.0,Bangalore East
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,,1210,2.0,2.0,75.0,Bangalore South
Super built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,,1200,3.0,2.0,110.0,Bangalore South
Super built-up  Area,18-Apr,Sarjapur  Road,3 BHK,AsastDe,1157,2.0,1.0,57.84,Bangalore South
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1185,2.0,1.0,51.15,Bangalore South
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,MancyRe,1450,3.0,3.0,100.0,Bangalore South
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Sastaat,1859,3.0,2.0,121.0,Bangalore North
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,PhestOn,1763,3.0,2.0,262.0,Bangalore South
Super built-up  Area,17-Sep,Attibele,2 BHK,Inenshe,900,1.0,1.0,25.0,Bangalore South
Super built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,Foghaa ,1305,3.0,1.0,60.0,Bangalore East
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Gontsoo,763 - 805,1.0,0.0,35.285,Bangalore North
Plot  Area,Immediate Possession,Kasavanhalli,,,5000,,,400.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,1150,2.0,0.0,36.8,Bangalore South
Built-up  Area,Ready To Move,Whitefield,3 BHK,Agtiaur,1806,3.0,3.0,85.0,Bangalore East
Super built-up  Area,19-Jul,Uttarahalli,2 BHK,DSera S,1002,2.0,1.0,40.08,Bangalore South
Super built-up  Area,18-Apr,Electronic City Phase II,3 BHK,Sryalan,1220,2.0,1.0,36.21,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1109,2.0,1.0,35.22,Bangalore East
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,DSera S,1002,2.0,1.0,40.08,Bangalore South
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308,2.0,1.0,89.04,Bangalore North
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,69.6,Bangalore North
Super built-up  Area,18-Apr,Haralur Road,2 BHK,,1027,2.0,2.0,44.0,Bangalore South
Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,,1250,2.0,2.0,65.0,Bangalore East
Plot  Area,Ready To Move,KR Puram,4 Bedroom,,960,4.0,2.0,80.0,Bangalore East
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1255,2.0,1.0,53.87,Bangalore South
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1434,3.0,3.0,84.0,Bangalore South
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vabow R,925,2.0,2.0,30.0,Bangalore South
Built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,Vithm R,1205,2.0,1.0,70.0,Bangalore North
Plot  Area,Ready To Move,Nagawara Junction,3 Bedroom,,1200,3.0,2.0,200.0,Bangalore North
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,,1020,2.0,2.0,48.95,Bangalore South
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,965,2.0,1.0,56.0,Bangalore North
Plot  Area,Ready To Move,7th Phase JP Nagar,5 Bedroom,,1800,6.0,3.0,270.0,Bangalore South
Super built-up  Area,18-Dec,Kundalahalli,3 BHK,Dieldli,1724,3.0,1.0,125.0,Bangalore East
Super built-up  Area,18-Oct,Whitefield,2 BHK,Prtates,1216,2.0,1.0,67.0,Bangalore East
Super built-up  Area,18-Feb,Yelahanka,1 BHK,Prensya,654,1.0,1.0,36.25,Bangalore North
Plot  Area,Ready To Move,Tavarekere,7 Bedroom,,1200,5.0,2.0,180.0,Bangalore South
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636,3.0,2.0,92.0,Bangalore North
Super built-up  Area,18-Dec,Hennur Road,2 BHK,Shxorm ,1195,2.0,2.0,73.0,Bangalore North
Super built-up  Area,Ready To Move,Nagavara,3 BHK,Vancyat,2400,3.0,3.0,251.0,Bangalore North
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Nillsre,1452,3.0,,90.0,Bangalore East
Super built-up  Area,19-Dec,Thanisandra,3 BHK,Bhe 2ko,1546,3.0,1.0,95.0,Bangalore North
Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Cetattu,3307 - 3464,6.0,0.0,142.0,Bangalore South
Plot  Area,Ready To Move,Naganathapura,2 Bedroom,,2260,3.0,1.0,80.0,Bangalore South
Plot  Area,Ready To Move,Tavarekere,4 Bedroom,,2700,3.0,2.0,90.0,Bangalore South
Plot  Area,Ready To Move,Kanakpura Road,1 Bedroom,,1.26Acres,1.0,0.0,125.0,Bangalore South
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,,1020,2.0,3.0,47.0,Bangalore North
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1125,2.0,3.0,55.0,Bangalore East
Plot  Area,Ready To Move,Kudlu Gate,9 Bedroom,,1150,9.0,,140.0,Bangalore South
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,,2850,5.0,0.0,240.0,Bangalore East
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,,1152,2.0,2.0,61.0,Bangalore East
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,,958,2.0,1.0,34.49,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,1150,2.0,2.0,55.0,Bangalore East
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2990,5.0,1.0,173.0,Bangalore North
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Trows M,1310,2.0,2.0,85.0,Bangalore South
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1795,3.0,2.0,150.0,Bangalore North
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,,1100,2.0,3.0,35.0,Bangalore South
Super built-up  Area,18-Nov,Thanisandra,1 BHK,Bhe 2ko,620 - 934,1.0,0.0,38.535,Bangalore North
Plot  Area,Ready To Move,Konanakunte,4 Bedroom,Prasa W,3746,6.0,1.0,375.0,Bangalore South
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,54.0,Bangalore North
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Jaw 2 L,1020,2.0,2.0,55.0,Bangalore South
Plot  Area,Ready To Move,Ramamurthy Nagar Extension,4 Bedroom,,750,2.0,1.0,42.0,Bangalore East
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1140,2.0,1.0,32.92,Bangalore South
Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2470,4.0,2.0,203.0,Bangalore North
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1697,3.0,2.0,110.0,Bangalore North
Super built-up  Area,Ready To Move,Varthur,2 BHK,,1250,2.0,2.0,47.0,Bangalore South
Super built-up  Area,Ready To Move,Gottigere,2 BHK,Pridei ,1120,2.0,2.0,50.0,Bangalore South
Plot  Area,Ready To Move,Hennur Road,5 Bedroom,,5100,6.0,3.0,375.0,Bangalore North
Plot  Area,Ready To Move,7th Block Jayanagar,4 Bedroom,,2400,3.0,2.0,480.0,Bangalore South
Super built-up  Area,Ready To Move,Hebbal,2 BHK,,1200,2.0,1.0,52.0,Bangalore North
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1100,2.0,1.0,44.0,Bangalore South
Super built-up  Area,Ready To Move, Devarachikkanahalli,3 BHK,,1417,2.0,2.0,76.0,Bangalore South
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1492,3.0,1.0,88.0,Bangalore North
Super built-up  Area,22-Nov,Devanahalli,3 BHK,Sabixtt,1498,3.0,3.0,79.15,Bangalore North
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Rasom B,1010,2.0,1.0,48.27,Bangalore East
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1847,3.0,2.0,125.0,Bangalore North
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,982,2.0,2.0,37.28,Bangalore South
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoisoCa,2144.6,4.0,2.0,145.0,Bangalore North
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBeriav,750,2.0,1.0,36.5,Bangalore South
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,919,2.0,2.0,35.0,Bangalore South
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1087,2.0,1.0,54.3,Bangalore North
Super built-up  Area,Ready To Move,6th Block Jayanagar,3 BHK,,2100,4.0,2.0,255.0,Bangalore South
Built-up  Area,Ready To Move,Thanisandra,3 BHK,MSureRR,2072,3.0,2.0,122.0,Bangalore North
Built-up  Area,18-Dec,Whitefield,3 BHK,,1600,3.0,2.0,69.0,Bangalore East
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,3.0,220.0,Bangalore South
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,Srsica ,1253,2.0,2.0,81.5,Bangalore South
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Koagati,1061,2.0,1.0,54.92,Bangalore North
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1950,3.0,2.0,115.0,Bangalore East
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Suvals ,1250,2.0,2.0,68.0,Bangalore East
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,MItatHa,1585,2.0,3.0,80.0,Bangalore North
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Prncy R,1015,2.0,2.0,37.0,Bangalore South
Super built-up  Area,19-Aug,Begur Road,4 BHK,Pruthg ,2462 - 2467,6.0,0.0,118.0,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1125,2.0,2.0,56.8,Bangalore East
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,MJtroty,1116,2.0,2.0,40.0,Bangalore South
Super built-up  Area,Ready To Move,Kasavanhalli,4 BHK,Vaidsi ,4000,4.0,2.0,325.0,Bangalore South
Super built-up  Area,Ready To Move,Hebbal,4 BHK,RMudeat,3900,4.0,2.0,410.0,Bangalore North
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sastaat,1300,2.0,2.0,100.0,Bangalore North
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419,2.0,1.0,60.42,Bangalore South
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,KKersow,1240,2.0,1.0,58.58,Bangalore East
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820,3.0,2.0,89.0,Bangalore North
Plot  Area,Ready To Move,Gubbalala,3 Bedroom,,2500,3.0,1.0,88.0,Bangalore South
Plot  Area,Ready To Move,KR Puram,5 Bedroom,Skdia A,3657,5.0,,310.0,Bangalore East
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,,1245,2.0,1.0,62.0,Bangalore South
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Indesve,1375,2.0,1.0,60.0,Bangalore West
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sastaat,1299,2.0,2.0,95.0,Bangalore North
Plot  Area,Ready To Move,Bommasandra Industrial Area,2 Bedroom,,1200,3.0,0.0,45.0,Bangalore South
Built-up  Area,Ready To Move,4th Block Koramangala,4 Bedroom,,2400,5.0,3.0,180.0,Bangalore South
Super built-up  Area,18-Nov,Hebbal,3 BHK,Magiaya,1255,2.0,1.0,95.0,Bangalore North
Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2830,5.0,3.0,190.0,Bangalore East
Super built-up  Area,Ready To Move, Sector 1 HSR Layout,1 BHK,,6000,1.0,1.0,276.0,Bangalore South
Built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,550,1.0,1.0,15.0,Bangalore South
Super built-up  Area,20-Aug,Begur Road,3 BHK,Pruthg ,1634,3.0,1.0,111.0,Bangalore South
Plot  Area,Ready To Move,Kogilu,8 Bedroom,,1200,6.0,3.0,105.0,Bangalore North
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1222,2.0,2.0,80.0,Bangalore North
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Pridei ,1500,3.0,2.0,63.0,Bangalore South
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,,1890,4.0,2.0,100.0,Bangalore South
Built-up  Area,Ready To Move,Hegde Nagar,4 Bedroom,Sotosty,3750,6.0,2.0,375.0,Bangalore North
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,,850,1.0,1.0,39.5,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veales ,1295,2.0,3.0,78.5,Bangalore East
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,DSndsod,1320,2.0,1.0,100.0,Bangalore South
Built-up  Area,Ready To Move,ISRO Layout,4 Bedroom,,950,3.0,3.0,179.0,Bangalore South
Plot  Area,Ready To Move,Hebbal,4 Bedroom,,1200,4.0,2.0,225.0,Bangalore North
Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,3000,3.0,3.0,170.0,Bangalore South
Built-up  Area,Ready To Move,Harlur,2 BHK,,1197,2.0,1.0,82.0,Bangalore South
Super built-up  Area,20-Dec,Whitefield,1 BHK,Oreldhi,840,1.0,1.0,57.6,Bangalore East
Super built-up  Area,20-Dec,Whitefield,1 BHK,Somns T,540 - 740,1.0,0.0,19.83,Bangalore East
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,1.0,71.38,Bangalore South
Super built-up  Area,Ready To Move,Kodihalli,2 BHK,,1000,2.0,1.0,62.0,Bangalore East
Super built-up  Area,Ready To Move,CV Raman Nagar,1 BHK,Pu270a ,705,1.0,1.0,57.0,Bangalore East
Built-up  Area,Ready To Move,Tumkur Road,5 Bedroom,,4800,5.0,2.0,150.0,Bangalore North
Built-up  Area,Ready To Move,Koramangala Industrial Layout,4 Bedroom,,5000,5.0,,600.0,Bangalore South
Plot  Area,Ready To Move,Gubbalala,4 Bedroom,,5000,4.0,3.0,425.0,Bangalore South
Built-up  Area,18-Dec,Whitefield,3 BHK,,1991,3.0,2.0,104.0,Bangalore East
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Adowslm,10200,4.0,1.0,1250.0,Bangalore East
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,RailsDa,870,2.0,2.0,38.0,Bangalore North
Super built-up  Area,18-May,Thanisandra,3 BHK,Bhmesy ,1595,3.0,2.0,120.0,Bangalore North
Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,945,5.0,2.0,120.0,Bangalore East
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCarkna,1614,3.0,2.0,93.0,Bangalore North
Super built-up  Area,Ready To Move,Gottigere,2 BHK,,1200,2.0,3.0,40.0,Bangalore South
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,Sravehi,1150,3.0,3.0,46.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1190,2.0,2.0,41.0,Bangalore East
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1460,2.0,1.0,97.0,Bangalore South
Plot  Area,Ready To Move,Naganathapura,1 Bedroom,,600,1.0,0.0,33.0,Bangalore South
Built-up  Area,18-Dec,"Off Sarjapur Road, ",3 Bedroom,,2600,3.0,2.0,147.0,Bangalore South
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,Shiaa S,645,1.0,0.0,42.5,Bangalore South
Plot  Area,Ready To Move,Nagarbhavi Garden Villas Layout,4 Bedroom,,1200,3.0,1.0,180.0,Bangalore South
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,,800,3.0,0.0,95.0,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Asintas,1350,2.0,1.0,90.0,Bangalore East
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1109,2.0,1.0,35.47,Bangalore East
Built-up  Area,Ready To Move,Agrahara Dasarahalli,1 BHK,,800,1.0,0.0,72.0,Bangalore West
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1215,2.0,1.0,68.0,Bangalore South
Plot  Area,Ready To Move,Basaveshwara Nagar,8 Bedroom,,1230,6.0,0.0,250.0,Bangalore South
Built-up  Area,Ready To Move,Prithvi Layout,3 Bedroom,Prigh L,2273,4.0,2.0,192.0,Bangalore West
Super built-up  Area,18-Aug,Varthur Road,2 BHK,,1255,2.0,2.0,52.76,Bangalore South
Super built-up  Area,Ready To Move,B Narayanapura,2 BHK,,1020,2.0,1.0,49.0,Bangalore North
Super built-up  Area,Ready To Move,Singasandra,2 BHK,,1120,2.0,1.0,60.0,Bangalore South
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Conixt ,1225,2.0,1.0,69.0,Bangalore South
Plot  Area,Ready To Move,Whitefield,4 Bedroom,UKe 2nz,5200,5.0,3.0,242.0,Bangalore East
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Puallhi,1984,4.0,1.0,145.0,Bangalore South
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Saciatt,2425,3.0,1.0,197.0,Bangalore North
Plot  Area,18-Sep,ITPL,3 Bedroom,,1200,3.0,1.0,56.12,Bangalore East
Built-up  Area,18-Jun,Whitefield,3 BHK,,1655,3.0,2.0,97.0,Bangalore East
Super built-up  Area,18-Aug,Ananth Nagar,1 BHK,,500,1.0,1.0,14.0,Bangalore South
Plot  Area,18-Jul,Varthur,3 Bedroom,,1200,3.0,1.0,68.38,Bangalore South
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,P num P,1000,2.0,2.0,43.0,Bangalore East
Super built-up  Area,18-Jul,CV Raman Nagar,2 BHK,,1225,2.0,2.0,47.88,Bangalore East
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Hedosme,1350,2.0,2.0,45.0,Bangalore South
Plot  Area,18-Apr,Nagarbhavi,4 Bedroom,,600,5.0,3.0,95.0,Bangalore South
Super built-up  Area,19-Mar,Hosa Road,3 BHK,Skume R,1311,2.0,1.0,84.86,Bangalore South
Plot  Area,Ready To Move,Banashankari Stage VI,3 Bedroom,,600,4.0,0.0,90.0,Bangalore South
Carpet  Area,Ready To Move,CV Raman Nagar,2 BHK,Mancyes,1000,2.0,1.0,38.5,Bangalore East
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Wiowsri,1050,2.0,1.0,59.0,Bangalore South
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,1275,2.0,2.0,52.0,Bangalore South
Carpet  Area,Ready To Move,Hommadevanahalli,2 BHK,,927,2.0,1.0,50.0,Bangalore North
Super built-up  Area,Ready To Move,Varthur,3 BHK,CaestSr,1520,2.0,3.0,61.0,Bangalore South
Plot  Area,Ready To Move,BTM Layout 2nd Stage 1st Phase,4 Bedroom,,2400,5.0,2.0,395.0,Bangalore South
Built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1333,2.0,1.0,104.0,Bangalore North
Super built-up  Area,18-Mar,Sarjapur  Road,3 BHK,PualeSk,1618 - 1929,,,85.125,Bangalore South
Built-up  Area,Ready To Move,Koramangala,2 BHK,KHage G,1370,2.0,2.0,125.0,Bangalore South
Super built-up  Area,Ready To Move,Koramangala,2 BHK,KHage G,1100,2.0,2.0,85.0,Bangalore South
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,,1650,3.0,3.0,100.0,Bangalore South
Super built-up  Area,18-May,Kasavanhalli,3 BHK,,1917,3.0,2.0,132.0,Bangalore South
Carpet  Area,Ready To Move,Doddakannelli,3 BHK,,780,3.0,,75.0,Bangalore South
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,,1089,2.0,1.0,43.55,Bangalore South
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Prillot,1804,3.0,2.0,175.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur,1 BHK,SNityVe,650,1.0,2.0,19.87,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BrlisCo,1850,3.0,2.0,150.0,Bangalore East
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,,945,2.0,,40.0,Bangalore North
Super built-up  Area,22-Dec,Koramangala,2 BHK,,1161,2.0,1.0,63.85,Bangalore South
Super built-up  Area,17-Apr,Banashankari Stage V,3 BHK,Naiewre,1630,3.0,2.0,51.35,Bangalore South
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,DSons S,1310,2.0,2.0,60.0,Bangalore North
Plot  Area,18-Sep,Whitefield,3 Bedroom,,1200,3.0,1.0,67.77,Bangalore East
Plot  Area,Ready To Move,Old Madras Road,4 Bedroom,,4000,4.0,2.0,225.0,Bangalore North
Built-up  Area,Ready To Move,Nagavara,2 BHK,,1315,2.0,2.0,70.0,Bangalore North
Plot  Area,Ready To Move,Ulsoor,5 Bedroom,,1200,4.0,3.0,150.0,Bangalore East
Built-up  Area,Ready To Move,Bellandur,2 BHK,Ocavees,1465,3.0,3.0,90.0,Bangalore South
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,64.0,Bangalore South
Super built-up  Area,Ready To Move,Padmanabhanagar,3 BHK,Silusti,1250,2.0,2.0,70.0,Bangalore South
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,,1284,2.0,2.0,75.0,Bangalore North
Super built-up  Area,18-Mar,Hebbal,3 BHK,SNontle,2600,3.0,2.0,199.0,Bangalore North
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,,1580,3.0,1.0,73.0,Bangalore South
Built-up  Area,Ready To Move,Akshaya Nagar,3 Bedroom,,2650,3.0,2.0,125.0,Bangalore South
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1075,2.0,1.0,40.0,Bangalore South
Super built-up  Area,Ready To Move,R.T. Nagar,3 BHK,JaniaGa,1400,2.0,3.0,78.0,Bangalore North
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,,1400,2.0,1.0,55.0,Bangalore South
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,30.0,Bangalore South
Super built-up  Area,Ready To Move,Hegde Nagar,4 BHK,,2600,4.0,3.0,40.0,Bangalore North
